,Headline,Snippet,Lead paragraph,Source,Date
40,Dwayne Johnson Part of XFL Ownership Bid,"The actor and former wrestler, who is known as the Rock, is part of a group of investors that bought what remains of the XFL for $15 million, pending bankruptcy court approval.","In the early days of the coronavirus pandemic, the XFL football league shut up shop, just five weeks into its ballyhooed restart. Then it filed for bankruptcy. It seemed like an abrupt, but final, end for the revived league, which first rose to notoriety for a single season 19 years ago.",The New York Times,2020-08-03 15:45:52+00:00
41,Is the Subway Risky? It May Be Safer Than You Think,New studies in Europe and Asia suggest that riding public transportation is not a major source of transmission for the coronavirus.,"Five months after the coronavirus outbreak engulfed New York City, riders are still staying away from public transportation in enormous numbers, often because they are concerned that sharing enclosed places with strangers is simply too dangerous.",The New York Times,2020-08-02 07:00:08+00:00
42,Theatrical Sort,Eric Bornstein’s debut puzzle puts us all in a state.,"MONDAY PUZZLE — This is a fun debut from Eric Bornstein with some little patterns sprinkled throughout. I know people realize this, but it’s certainly not easy to construct an easier puzzle. Today is a good example: Notice the precise setup, with straightforward clues for difficult entries and funnier clues for easier words, and the way that difficult and more accessible entries overlap, to give us fewer ways to get locked out of the solve.",The New York Times,2020-08-02 21:40:02+00:00
43,Share Your Medical Bills for Coronavirus,"As we explore how the pandemic is changing U.S. health care, you can help by showing what you’re being charged for testing and treatment.",Have a bill you want to share? Go straight to the form.,The New York Times,2020-08-03 09:00:17+00:00
44,Marathon Is Selling Speedway Gas Stations to 7-Eleven’s Parent for $21 Billion,"The largest U.S. independent refining company will get cash, and 7-Eleven will add 4,000 convenience stores.","HOUSTON — Marathon Petroleum, the largest U.S. independent refiner, announced on Sunday that it had sold its Speedway gas station chain to the Japanese retail group Seven & I Holdings for $21 billion in cash.",The New York Times,2020-08-03 00:04:37+00:00
45,"In Showdown Between China and the West, HSBC Gets Caught in the Middle",Global businesses are increasingly being asked to pick political and legal sides in the confrontation between the world’s two biggest economies.,"HONG KONG — Like Hong Kong, HSBC has long sat at the crossroads between East and West, a big global bank based in Britain that has reveled in and profited from its deep relationship with China. And like Hong Kong, it is now caught in the middle of a new era of confrontation between Beijing and major Western governments.",The New York Times,2020-08-03 07:00:08+00:00
46,I’m the Police Chief in Portland. Violence Isn’t the Answer.,"As a Black man and a public servant, I see that spectacle is drowning out the voices that need to be heard to make positive change.","After the horrendous killing of George Floyd, people in Portland, Ore., joined with thousands across the country in demonstrations to address police reform and widespread systemic racism. The leaders of the Portland Police Bureau denounced this tragic death, and we reiterated our willingness to engage in reforms.",The New York Times,2020-08-03 19:14:25+00:00
47,"Less Sex, More Viewers: Pandemic Boosts Mexico’s Flagging Telenovelas","Dismissed as too old-fashioned to compete with streaming services, the melodramas have seen viewership surge from Mexicans seeking the familiar in a distressing time.",MEXICO CITY — Mexico’s love affair with melodrama was over.,The New York Times,2020-08-02 09:10:46+00:00
48,How to Ace an Online Job Interview,A handful of classic techniques and some tips unique to the work-from-home era can help you land that next job.,"The in-person job interview went away when offices emptied this spring because of the coronavirus pandemic. On the plus side, no more flying out to company headquarters and staying at a hotel, just to spend a day of meetings in an uncomfortable suit and then heading right back home. On the downside, common technical snafus and fewer body language clues can make the online process feel fraught. To successfully make the jump to team member from virtual job seeker, brush up on classic interview techniques and adapt them to the new world of internet interviews.",The New York Times,2020-08-03 09:00:09+00:00
49,Automated Line Calls Will Replace Human Judges at U.S. Open,"On all but the two biggest show courts, line calls will be made by Hawk-Eye Live to reduce the number of people on site during the pandemic.",Three weeks of World TeamTennis at the Greenbrier resort in West Virginia had come down to a single point on Sunday.,The New York Times,2020-08-03 09:00:18+00:00
50,"After 100 Podcasts, JJ Redick Widens His Range",The New Orleans Pelicans shooter is starting a new show and a production company to develop more podcasts.,JJ Redick of the New Orleans Pelicans came prepared.,The New York Times,2020-08-03 07:00:08+00:00
51,29 Dead After ISIS Attack on Afghan Prison,"The 20-hour gun battle left officials scrambling to recapture hundreds of prisoners, including many from the Islamic State and the Taliban.","JALALABAD, Afghanistan — A militant assault on a prison complex in eastern Afghanistan ended on Monday after a 20-hour gun battle, leaving 29 people dead and officials scrambling to recapture hundreds of prisoners, including many from the Islamic State and the Taliban.",The New York Times,2020-08-03 08:46:40+00:00
52,Trump Forecasts His Own Fraud,"In the president’s world, he is never to blame for failure.",This election is in danger of being stolen. By Donald Trump.,The New York Times,2020-08-02 23:53:09+00:00
53,Covid Tests and Quarantines: Colleges Brace for an Uncertain Fall,"Colleges are racing to reconfigure dorms, expand testing programs and establish detailed social distancing rules. And then, what to do about sex?","This month, many colleges around the country plan to welcome back thousands of students into something they hope will resemble normal campus life. But they face challenges unlike any other American institution — containing the coronavirus among a young, impulsive population that not only studies together, but lives together, parties together, and, if decades of history are any guide, sleeps together.",The New York Times,2020-08-02 20:36:25+00:00
54,Canada’s Key Role in Creating a Once Awaited Vaccine,"An American researcher created the polio vaccine, but a Toronto lab and a pioneering female scientist made its mass production possible.","Canadians don’t have to go back to 1918 and the start of the Spanish flu pandemic to find an analogy to today. For decades, waves of polio outbreaks gripped the country with fear, death and uncertainty, as recently as the 1950s.",The New York Times,2020-08-01 01:09:10+00:00
55,Court Frees Michigan Teen Who Was Held for Skipping Online Schoolwork,"The release came more than a week after a judge ruled that the girl, who violated the terms of her probation by skipping coursework, should remain at the juvenile facility.",The Michigan Court of Appeals on Friday freed a 15-year-old suburban Detroit girl whose detention at a juvenile facility drew widespread criticism after a county judge ordered that she be held for failing to complete her online schoolwork.,The New York Times,2020-08-01 00:41:19+00:00
